total: 27024
total up: 941
date;daily up;total up;new uploaders
2012-09-01;690;690;52
2012-09-02;721;1397;44
2012-09-03;765;2146;41
2012-09-04;530;2668;28
2012-09-05;540;3189;30
2012-09-06;538;3718;10
2012-09-07;522;4231;27
2012-09-08;989;5232;44
2012-09-09;875;6080;44
2012-09-10;822;6928;31
2012-09-11;772;7677;36
2012-09-12;1055;8728;23
2012-09-13;708;9151;25
2012-09-14;822;10290;26
2012-09-15;699;11003;24
2012-09-16;987;11963;56
2012-09-17;1042;13031;29
2012-09-18;794;13822;19
2012-09-19;569;14405;19
2012-09-20;951;15361;23
2012-09-21;833;16186;17
2012-09-22;794;16983;26
2012-09-23;1070;17918;28
2012-09-24;748;18657;21
2012-09-25;769;19434;19
2012-09-26;673;20093;26
2012-09-27;987;21075;34
2012-09-28;830;21906;19
2012-09-29;1887;23794;49
2012-09-30;3041;26979;71
