total: 24852
total up: 988
date;daily up;total up;new uploaders
2011-09-01;261;261;23
2011-09-02;347;604;15
2011-09-03;436;1000;38
2011-09-04;705;1685;59
2011-09-05;933;2576;40
2011-09-06;338;2870;38
2011-09-07;481;3380;36
2011-09-08;472;3836;28
2011-09-09;326;4178;34
2011-09-10;475;4656;29
2011-09-11;665;5310;40
2011-09-12;433;5727;34
2011-09-13;493;6246;32
2011-09-14;440;6691;20
2011-09-15;732;7416;27
2011-09-16;434;7854;27
2011-09-17;615;8444;28
2011-09-18;922;9325;51
2011-09-19;973;10246;30
2011-09-20;599;10678;29
2011-09-21;737;11342;37
2011-09-22;886;12153;19
2011-09-23;677;12894;13
2011-09-24;1294;14182;31
2011-09-25;1513;15672;51
2011-09-26;987;16602;26
2011-09-27;939;17542;35
2011-09-28;1936;19454;36
2011-09-29;1761;21151;33
2011-09-30;3041;24536;49
